gene,source,comparison
rpoB,houser,two_week_starvation_versus_control
yiiM,houser,two_week_starvation_versus_control
lepB,houser,two_week_starvation_versus_control
pgk,houser,two_week_starvation_versus_control
mscS,houser,two_week_starvation_versus_control
fbaA,houser,two_week_starvation_versus_control
rplD,houser,two_week_starvation_versus_control
rplC,houser,two_week_starvation_versus_control
hslU,houser,two_week_starvation_versus_control
yebC,houser,two_week_starvation_versus_control
ruvC,houser,two_week_starvation_versus_control
rplB,houser,two_week_starvation_versus_control
surE,houser,two_week_starvation_versus_control
yciS,houser,two_week_starvation_versus_control
truD,houser,two_week_starvation_versus_control
metB,houser,two_week_starvation_versus_control
srmB,houser,two_week_starvation_versus_control
rsmA,houser,two_week_starvation_versus_control
cysN,houser,two_week_starvation_versus_control
yciH,houser,two_week_starvation_versus_control
FldA,houser,two_week_starvation_versus_control
rdgB,houser,two_week_starvation_versus_control
rpmC,houser,two_week_starvation_versus_control
rplP,houser,two_week_starvation_versus_control
rpmJ,houser,two_week_starvation_versus_control
rplR,houser,two_week_starvation_versus_control
murR,houser,two_week_starvation_versus_control
tktA,houser,two_week_starvation_versus_control
rplN,houser,two_week_starvation_versus_control
rpsQ,houser,two_week_starvation_versus_control
eda,houser,two_week_starvation_versus_control
purT,houser,two_week_starvation_versus_control
rplV,houser,two_week_starvation_versus_control
rpsC,houser,two_week_starvation_versus_control
rpsS,houser,two_week_starvation_versus_control
cysC,houser,two_week_starvation_versus_control
hslV,houser,two_week_starvation_versus_control
ybgF,houser,two_week_starvation_versus_control
cytR,houser,two_week_starvation_versus_control
exoX,houser,two_week_starvation_versus_control
adk,houser,two_week_starvation_versus_control
ung,houser,two_week_starvation_versus_control
htpG,houser,two_week_starvation_versus_control
yfiF,houser,two_week_starvation_versus_control
speA,houser,two_week_starvation_versus_control
vacJ,houser,two_week_starvation_versus_control
mlaA,houser,two_week_starvation_versus_control
tufA,houser,two_week_starvation_versus_control
cyoA,houser,two_week_starvation_versus_control
glnK,houser,two_week_starvation_versus_control
yijO,houser,two_week_starvation_versus_control
argE,houser,two_week_starvation_versus_control
rpmG,houser,two_week_starvation_versus_control
ppc,houser,two_week_starvation_versus_control
fusA,houser,two_week_starvation_versus_control
yijP,houser,two_week_starvation_versus_control
rpsG,houser,two_week_starvation_versus_control
yqgE,houser,two_week_starvation_versus_control
cusS,houser,two_week_starvation_versus_control
rplM,houser,two_week_starvation_versus_control
asmA,houser,two_week_starvation_versus_control
yggW,houser,two_week_starvation_versus_control
mutY,houser,two_week_starvation_versus_control
LeuC,houser,two_week_starvation_versus_control
puuC,houser,two_week_starvation_versus_control
hcaR,houser,two_week_starvation_versus_control
yccS,houser,two_week_starvation_versus_control
puuB,houser,two_week_starvation_versus_control
cyoE,houser,two_week_starvation_versus_control
yoaA,houser,two_week_starvation_versus_control
hemX,houser,two_week_starvation_versus_control
flgA,houser,two_week_starvation_versus_control
mipA,houser,two_week_starvation_versus_control
solA,houser,two_week_starvation_versus_control
flgJ,houser,two_week_starvation_versus_control
frmR,houser,two_week_starvation_versus_control
ycdX,houser,two_week_starvation_versus_control
murB,houser,two_week_starvation_versus_control
qseE,houser,two_week_starvation_versus_control
glrK,houser,two_week_starvation_versus_control
yebY,houser,two_week_starvation_versus_control
degS,houser,two_week_starvation_versus_control
cspC,houser,two_week_starvation_versus_control
yobF,houser,two_week_starvation_versus_control
codB,houser,two_week_starvation_versus_control
frmA,houser,two_week_starvation_versus_control
sthA,houser,two_week_starvation_versus_control
nusB,houser,two_week_starvation_versus_control
glyA,houser,two_week_starvation_versus_control
murG,houser,two_week_starvation_versus_control
