baseMean,log2FoldChange,pvalue,padj,gene,dataType,growthPhase.y,investigatedEffect,testVSbase
1.681499012,4.444489287,9.25e-09,4.73e-07,insA-2,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.56329957,-0.868236392,0.256366016,,insB-2,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.218897783,-0.345805472,0.634114814,,,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.994962035,-0.952519513,0.227950686,0.372591416,yhhI-1,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.284697454,1.905646113,0.005089705,0.034732148,yafV,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
4.624620056,0.743431509,0.160872538,0.299095675,ykfE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
13.98856364,-0.364269864,0.604712403,0.715091977,fadE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
53.83814538,0.380604957,0.442602347,0.576103461,gmhA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
5.276370685,1.03766242,0.037117506,0.123040836,yafJ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.457803009,0.94924507,0.209661158,0.35367229,yafK,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.099649314,-0.153462143,0.823558566,,yafQ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
2.639172684,-0.411878795,0.552797417,0.670856042,dinJ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.946971957,-1.462902983,0.060384081,0.164736527,yafL,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.721384805,-0.868369757,0.272903901,,yafM,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.411002524,-1.2124041,0.127229195,0.258807242,dinB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.878470603,1.06821618,0.175204629,,yafN,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.359673756,-0.605509331,0.429266134,,yafO,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.169442877,-0.259505249,0.709372444,,yafP,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.089130755,-0.179056956,0.774658722,,ykfJ,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.565762343,-1.404269613,0.077404848,,prfH,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
97.92413611,0.593645689,0.135799783,0.269388872,pepD,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
12.28548896,1.121401336,0.005300436,0.035507372,gpt,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
15.10551955,1.200356951,0.000213009,0.003150815,frsA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
12.99861242,-0.184720372,0.745551551,0.825558814,crl,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
1.681499012,4.444489287,9.25e-09,4.73e-07,insA-3,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
0.590117013,-0.963692362,0.207666757,,insB-3,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
5.615529528,1.576511978,0.021136488,0.086981934,phoE,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
45.70022631,0.276593243,0.535174073,0.655268159,proB,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
62.71195441,0.640626034,0.112829227,0.240008306,proA,protein,Exp,batchNumberPLUScarbonSource,lactateVSglucose
