gene,ratio,log2FC_treitz,dataset,Acetate,Glucose,log2FC_schmidt,avg_exp
yhco,,,Schmidt,42.29250993756061,35.044422980274746,0.2643413911424259,38.66846645891768
bdcr,,,Schmidt,60.42153517674266,124.07263741911072,-1.0259497237954749,92.2470862979267
dcur,,,Schmidt,4.160234584013601,0.832910089182193,1.493300633741616,2.496572336597897
ygbi,,,Schmidt,0.016611838,1.552251448,-1.3280015349768577,0.784431643
ygev,,,Schmidt,1.9323265019602485,0.0059705717283645,1.5434576485898646,0.9691485368443064
rumb,,,Schmidt,0.421630626,3.9323331,-1.794723567342141,2.176981863
trml,,,Schmidt,15.17631150168425,39.81310271280659,-1.3351497078983767,27.494707107245414
cdsa,,,Schmidt,29.333766217698717,44.10711301907915,-0.5724303194905644,36.72043961838894
paaj,,,Schmidt,13.072031681550966,17.602002674325046,-0.4026273129152722,15.337017177938003
sbma,,,Schmidt,2.3553122528276504,4.392570672234701,-0.6845261456373817,3.373941462531175
folm,,,Schmidt,30.344443121904188,39.017550399519806,-0.3524231595367881,34.680996760712
lipb,,,Schmidt,11.978098325561522,2.1972190225190293,2.021189518320596,7.087658674040275
paak,,,Schmidt,0.006591388765883,0.0082432076396738,-0.002365525622618,0.0074172982027784
cobu,,,Schmidt,23.63720462,29.8895207,-0.3262789107981456,26.76336266
ylii,,,Schmidt,1.4559121923186298,1.2783729324790103,0.1082550680846043,1.36714256239882
gntk,,,Schmidt,3.6082704061881,15.901405642297814,-1.8748459568869211,9.754838024242956
uxab,,,Schmidt,2.4603599992026117,2.332396394725816,0.0543621145602133,2.396378196964214
agav,,,Schmidt,20.167477492273942,17.951513385129104,0.1595362946977587,19.059495438701525
garl,,,Schmidt,7.858990167360211,3.296447873052444,1.0439978644424364,5.577719020206327
nadk,,,Schmidt,8.809344736144958,19.357318230327024,-1.0533188478141349,14.083331483235993
sgbh,,,Schmidt,51.53010063,45.82719194,0.1657978208685184,48.678646285
sgcb,,,Schmidt,152.5149394,146.5789455,0.0568921466484146,149.54694245000002
yeiq,,,Schmidt,0.036188627,0.489216989,-0.523267325619073,0.262702808
ytfr,,,Schmidt,1.303202311737267,0.3367319221569832,0.7849309760662344,0.8199671169471252
gadb,,,Schmidt,23.895333387170265,6.547567785123917,1.7217916216263518,15.22145058614709
yqeg,,,Schmidt,0.0118832763240083,0.0145777629672419,-0.0038365650594399,0.0132305196456251
mpaa,,,Schmidt,31.07616170512349,8.844105240810963,1.7041695299974746,19.960133472967225
ygew,,,Schmidt,1.265119816,4.854976638,-1.3700760489979464,3.060048227
nikc,,,Schmidt,2.6115055489415018,5.345803140425517,-0.8132023796213217,3.978654344683509
aega,,,Schmidt,0.005921164,5.255350077,-2.6365733834778897,2.6306356205
yjgm,,,Schmidt,67.71540980018936,128.27503916987996,-0.9117381693929928,97.99522448503468
ycib,,,Schmidt,1.097228353793135,3.769858879383604,-1.1854626275856432,2.43354361658837
tils,,,Schmidt,3.9980736172171505,0.7934231085172175,1.4786562589022223,2.395748362867184
narh,,,Schmidt,0.0044510563057736,0.0055643828676969,-0.0015981875986917,0.0050077195867353
nari,,,Schmidt,0.0174275908643267,0.0219762019441062,-0.0064354784003694,0.0197018964042165
nuok,,,Schmidt,89.66107655576549,229.4546514240191,-1.3459276891368015,159.5578639898923
ykge,,,Schmidt,0.0095000390593313,0.0119313455395361,-0.0034704472484498,0.0107156922994337
cyod,,,Schmidt,59.40950790671049,136.1011504668993,-1.182393137757864,97.75532918680489
glce,,,Schmidt,22.63585647997965,0.0085439229190064,4.5506313228281385,11.322200201449329
hybd,,,Schmidt,8.808702023791886,14.558496224337906,-0.6655684825031307,11.683599124064896
ydep,,,Schmidt,2.507055895,6.458656082,-1.088655281489295,4.4828559885
ynff,,,Schmidt,0.0033018814857977,0.0041085392825817,-0.0011594652032431,0.0037052103841897
dini,,,Schmidt,11.691467879512349,112.5110171313932,-3.160901484871608,62.10124250545277
nudi,,,Schmidt,8.233088499,20.84912195,-1.2426900833150456,14.5411052245
nudl,,,Schmidt,10.557095736302175,9.592803822456617,0.1256943897944844,10.074949779379397
osmb,,,Schmidt,6467.452462213414,4074.3983977162047,0.6664794980920039,5270.925429964809
yahg,,,Schmidt,0.421847268,1.021979639,-0.5080019677601346,0.7219134535
ybij,,,Schmidt,13.8214236143432,75.3090513924637,-2.3641701656005583,44.56523750340345
ybjn,,,Schmidt,41.24829831923584,111.1798511645,-1.4088484353496948,76.21407474186792
ychh,,,Schmidt,2.8368444671260176,0.3948203013615911,1.4598410165322715,1.6158323842438045
ycic,,,Schmidt,5.105152710823121,10.261386100894502,-0.8832851240623145,7.683269405858811
yfec,,,Schmidt,10.813543394873932,11.58916178712177,-0.0917404720216414,11.20135259099785
yfed,,,Schmidt,13.14379827,14.52895197,-0.1347908641497186,13.83637512
yics,,,Schmidt,0.0229228544314952,0.0284270144660089,-0.0077420663955976,0.0256749344487521
yjfn,,,Schmidt,3.681746904,4.452216694,-0.2197959578161397,4.066981799
ymdf,,,Schmidt,11.55274874,16.50947485,-0.4801325015019038,14.031111795
ymga,,,Schmidt,0.0,0.0,0.0,0.0
ymgg,,,Schmidt,0.059932526,0.0,0.0839724275209881,0.029966263
yqjk,,,Schmidt,0.0,0.0,0.0,0.0
xyle,,,Schmidt,0.5943404501340582,0.8577643282212362,-0.2206077657949974,0.7260523891776471
rsmj,,,Schmidt,19.37499144225162,34.673636504628995,-0.8080588355752845,27.024313973440307
cgta,,,Schmidt,62.92953235456798,115.67598008925869,-0.8679531404692247,89.30275622191333
gatr,,,Schmidt,5.543455209862327,0.8619530240174,1.813235963440337,3.202704116939864
cas1,,,Schmidt,22.21057960384361,16.1555002705737,0.4361113525870523,19.183039937208655
mettudraft_4149,,,Schmidt,14.394168475154595,29.32897620408166,-0.9783128571604256,21.861572339618128
wbbl,,,Schmidt,1.887754139,3.234331773,-0.5521863958054001,2.561042956
ydfw,,,Schmidt,53.2979708550328,171.05592267142902,-1.6639073648963,112.17694676323092
ygfj,,,Schmidt,12.63602801,44.15972989,-1.7276133890109469,28.39787895
