gene,source,thresholds,comparison
metQ,mori,2.5,Lib-28_versus_Lib-20
nadB,mori,2.5,Lib-28_versus_Lib-20
nlpA,mori,2.5,Lib-28_versus_Lib-20
potF,mori,2.5,Lib-28_versus_Lib-20
purE,mori,2.5,Lib-28_versus_Lib-20
purT,mori,2.5,Lib-28_versus_Lib-20
serA,mori,2.5,Lib-28_versus_Lib-20
sstT,mori,2.5,Lib-28_versus_Lib-20
thiG,mori,2.5,Lib-28_versus_Lib-20
thiM,mori,2.5,Lib-28_versus_Lib-20
thrA,mori,2.5,Lib-28_versus_Lib-20
thrB,mori,2.5,Lib-28_versus_Lib-20
trpA,mori,2.5,Lib-28_versus_Lib-20
trpB,mori,2.5,Lib-28_versus_Lib-20
trpC,mori,2.5,Lib-28_versus_Lib-20
trpD,mori,2.5,Lib-28_versus_Lib-20
xylB,mori,2.5,Lib-28_versus_Lib-20
xylR,mori,2.5,Lib-28_versus_Lib-20
ybjX,mori,2.5,Lib-28_versus_Lib-20
yojI,mori,2.5,Lib-28_versus_Lib-20
